,teams,1_max,X_max,2_max,under_max,goals_max,over_max
26,Mostaganem  Widad Adabi de B.,2.05,2.95,3.55,1.55,2.5,2.15
27,Temouchent  RC Kouba,1.45,3.65,6.60,1.55,2.5,2.20
28,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
29,Estudiantes  Colon,1.80,3.55,4.33,1.83,2.5,1.90
30,Tigre  Aldosivi,1.33,4.70,9.50,1.98,2.5,1.75
31,Racing Club  Rosario Central,1.75,3.45,5.10,1.73,2.5,2.10
32,Union Santa Fe  Newells,1.98,3.15,4.00,1.60,2.5,2.25
33,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
34,Gimnasia J.  San Martin T.,5.50,3.10,1.70,1.40,2.5,2.70
35,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
36,Talleres RE  Acassuso,2.65,2.90,2.75,1.45,2.5,2.45
37,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
38,Dep.Espanol  Sp.Italiano,1.98,2.80,4.00,1.38,2.5,2.80
39,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
40,Ararat Y.  Urartu,3.00,2.85,2.35,1.55,2.5,2.20
41,Shirak  Lernayin Artsakh,2.55,2.90,2.65,1.50,2.5,2.30
42,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
43,Sydney Utd  Macarthur FC,12.5,5.70,1.23,2.35,2.5,1.53
44,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
45,Canberra Croatia  Monaro Panthers,1.70,4.10,3.85,3.10,2.5,1.29
46,Domaćin  Gost,1,X,2,ug 0-2,2.5,ug 3+
47,Dornbirn  Austria V. II,2.35,3.50,2.65,2.38,2.5,1.53
48,First Vienna  Kapfenberg,1.42,4.60,5.75,2.45,2.5,1.50
49,Vorwarts S.  Horn,2.95,3.30,2.25,2.10,2.5,1.65
50,St.Polten  Amstetten,2.20,3.50,2.90,2.05,2.5,1.70
51,Admira  Liefering,1.70,3.80,4.25,2.25,2.5,1.58
52,Grazer AK  Sturm G. II,2.30,3.45,2.75,2.20,2.5,1.60
